codgeo;annee;NombreCrimes
1001;2017;5369.0
1001;2022;3328.0
1002;2017;2187.0
1002;2022;2670.0
1004;2017;168972.0
1004;2022;193102.0
1005;2017;8355.0
1005;2022;5691.0
1006;2017;770.0
1006;2022;1243.0
1007;2017;18788.0
1007;2022;19831.0
1008;2017;5250.0
1008;2022;4608.0
1009;2017;2688.0
1009;2022;1610.0
1010;2017;3372.0
1010;2022;3375.0
1011;2017;3830.0
1011;2022;3447.0
1012;2017;2282.0
1012;2022;2943.0
1013;2017;1332.0
1013;2022;1410.0
1014;2017;16895.0
1014;2022;13636.0
1015;2017;3200.0
1015;2022;4002.0
1016;2017;2772.0
1016;2022;4131.0
1017;2017;1752.0
1017;2022;1296.0
1019;2017;338.0
1019;2022;312.0
1021;2017;5556.0
1021;2022;5992.0
1022;2017;4908.0
1022;2022;2354.0
1023;2017;756.0
1023;2022;924.0
1024;2017;16350.0
1024;2022;13344.0
1025;2017;20440.0
1025;2022;20325.0
1026;2017;2745.0
1026;2022;1958.0
1027;2017;14280.0
1027;2022;16152.0
1028;2017;2980.0
1028;2022;3105.0
1029;2017;3425.0
1029;2022;2800.0
1030;2017;1770.0
1030;2022;2490.0
1031;2017;28944.0
1031;2022;18180.0
1032;2017;23198.0
1032;2022;24038.0
1033;2017;179322.0
1033;2022;179245.0
1034;2017;100463.0
1034;2022;101629.0
1035;2017;3170.0
1035;2022;3060.0
1036;2017;6495.0
1036;2022;4026.0
1037;2017;3234.0
1037;2022;2170.0
1038;2017;3810.0
1038;2022;3820.0
1040;2017;5434.0
1040;2022;3360.0
1041;2017;3000.0
1041;2022;2247.0
1042;2017;3312.0
1042;2022;2900.0
1043;2017;31899.0
1043;2022;34139.0
1044;2017;3055.0
1044;2022;3130.0
1045;2017;1995.0
1045;2022;1988.0
1046;2017;5142.0
1046;2022;3616.0
1047;2017;3972.0
1047;2022;3876.0
1049;2017;18126.0
1049;2022;23527.0
1050;2017;3718.0
1050;2022;2702.0
1051;2017;623.0
1051;2022;1045.0
1052;2017;2871.0
1052;2022;2943.0
1053;2017;537745.0
1053;2022;581350.0
1054;2017;7950.0
1054;2022;7585.0
1056;2017;3186.0
1056;2022;3204.0
1057;2017;5665.0
1057;2022;3060.0
1058;2017;2547.0
1058;2022;1636.0
1060;2017;3654.0
1060;2022;3108.0
1061;2017;4676.0
1061;2022;6774.0
1062;2017;5346.0
1062;2022;3912.0
1063;2017;2060.0
1063;2022;2304.0
1064;2017;2973.0
1064;2022;5495.0
1065;2017;14136.0
1065;2022;5553.0
1066;2017;497.0
1066;2022;760.0
1067;2017;1518.0
1067;2022;1305.0
1068;2017;1570.0
1068;2022;3044.0
1069;2017;4596.0
1069;2022;6020.0
1071;2017;19344.0
1071;2022;37149.0
1072;2017;15690.0
1072;2022;13140.0
1073;2017;2024.0
1073;2022;2976.0
1074;2017;9624.0
1074;2022;15354.0
1075;2017;5184.0
1075;2022;7150.0
1076;2017;1233.0
1076;2022;1116.0
1077;2017;1737.0
1077;2022;1890.0
1078;2017;5800.0
1078;2022;3238.0
1079;2017;4950.0
1079;2022;6608.0
1080;2017;4599.0
1080;2022;3225.0
1081;2017;6561.0
1081;2022;2154.0
1082;2017;2532.0
1082;2022;1848.0
1083;2017;6286.0
1083;2022;4012.0
1084;2017;5831.0
1084;2022;4655.0
1085;2017;3483.0
1085;2022;3546.0
1087;2017;1425.0
1087;2022;1674.0
1088;2017;3692.0
1088;2022;4490.0
1089;2017;12480.0
1089;2022;13722.0
1090;2017;1665.0
1090;2022;2520.0
1092;2017;4722.0
1092;2022;3298.0
1093;2017;39088.0
1093;2022;40472.0
1094;2017;4500.0
1094;2022;3835.0
1095;2017;3220.0
1095;2022;5824.0
1096;2017;4024.0
1096;2022;4144.0
1098;2017;4316.0
1098;2022;4752.0
1099;2017;4539.0
1099;2022;9600.0
1100;2017;1224.0
1100;2022;1310.0
1101;2017;1683.0
1101;2022;2100.0
1102;2017;5742.0
1102;2022;3892.0
1103;2017;6572.0
1103;2022;9044.0
1104;2017;2760.0
1104;2022;1780.0
1105;2017;8030.0
1105;2022;3832.0
1106;2017;1360.0
1106;2022;1408.0
1107;2017;1350.0
1107;2022;1540.0
1108;2017;4748.0
1108;2022;4908.0
1109;2017;6669.0
1109;2022;8996.0
1110;2017;1441.0
1110;2022;1304.0
1111;2017;1560.0
1111;2022;1485.0
1112;2017;2484.0
1112;2022;3311.0
1113;2017;5775.0
1113;2022;3260.0
1114;2017;3100.0
1114;2022;4795.0
1115;2017;6655.0
1115;2022;2696.0
1116;2017;4000.0
1116;2022;1972.0
1117;2017;1314.0
1117;2022;1341.0
1118;2017;3765.0
1118;2022;5184.0
1121;2017;1017.0
1121;2022;585.0
1123;2017;1118.0
1123;2022;2324.0
1124;2017;2648.0
1124;2022;3515.0
1125;2017;3125.0
1125;2022;2384.0
1127;2017;2525.0
1127;2022;3528.0
1128;2017;1550.0
1128;2022;1485.0
1129;2017;1578.0
1129;2022;1530.0
1130;2017;9052.0
1130;2022;9520.0
1133;2017;2358.0
1133;2022;1167.0
1134;2017;6936.0
1134;2022;3636.0
1135;2017;10630.0
1135;2022;6864.0
1136;2017;5985.0
1136;2022;4715.0
1138;2017;21102.0
1138;2022;23982.0
1139;2017;1329.0
1139;2022;3157.0
1140;2017;4620.0
1140;2022;3920.0
