codecommune;NSCOL15P;DIPLMIN;BEPC;CAPBEP;BAC;SUP2;SUP34;SUP5
1001;558;107;26;187;95;72;39;31
1002;179;22;7;48;39;26;20;16
1004;10149;2207;589;2800;1938;1237;740;639
1005;1234;294;55;371;221;148;86;59
1006;96;17;4;31;30;5;5;3
1007;1963;282;86;607;389;280;174;144
1008;570;78;24;186;111;90;43;39
1009;253;35;18;83;41;32;23;21
1010;790;172;45;268;155;76;46;28
1011;268;51;10;71;51;39;30;16
1012;246;63;13;68;38;33;21;10
1013;108;23;7;42;19;9;6;2
1014;2503;879;125;635;405;226;151;82
1015;513;88;24;163;92;63;47;37
1016;326;73;17;116;58;34;21;7
1017;326;87;18;102;65;30;14;10
1019;22;4;1;10;6;1;0;0
1021;994;143;49;264;202;150;110;76
1022;959;241;69;363;137;75;50;25
1023;49;9;3;21;5;5;3;3
1024;2274;368;104;774;422;313;193;100
1025;2943;580;129;873;557;415;234;154
1026;710;187;29;238;113;64;48;29
1027;2040;224;202;586;588;229;108;102
1028;449;96;20;152;84;47;29;20
1029;524;163;32;167;90;40;21;11
1030;635;125;37;186;136;60;46;46
1031;2602;897;121;615;467;232;178;92
1032;2211;373;152;643;442;269;172;160
1033;12087;3269;734;3498;1957;1150;817;662
1034;6830;1905;451;1836;1117;642;503;375
1035;251;43;15;77;42;25;29;21
1036;1020;165;50;307;190;132;107;68
1037;226;42;21;75;36;19;19;13
1038;552;120;20;178;104;72;36;23
1039;345;78;25;124;54;33;15;16
1040;346;75;8;122;73;41;23;5
1041;561;95;35;177;112;64;46;31
1042;204;32;8;68;40;31;15;9
1043;3290;429;179;730;547;477;364;564
1044;445;77;31;153;73;55;33;24
1045;190;33;4;56;28;26;25;17
1046;626;126;25;218;121;73;41;22
1047;692;105;23;190;130;119;69;57
1049;2278;459;109;627;389;318;177;198
1050;234;71;9;81;39;20;7;7
1051;77;15;4;28;17;10;3;0
1052;253;47;16;51;52;42;21;24
1053;30415;7901;1828;7664;5096;2959;2717;2250
1054;950;122;40;235;202;139;98;115
1056;254;60;6;74;46;41;13;14
1057;358;90;10;109;72;48;23;7
1058;596;124;38;191;115;63;38;27
1060;397;72;24;118;67;56;39;21
1061;846;164;40;268;145;112;68;49
1062;648;92;28;128;145;93;75;86
1063;398;97;32;114;70;33;32;19
1064;753;170;51;305;124;60;34;9
1065;1322;170;50;380;261;196;146;120
1066;56;10;7;21;7;0;8;4
1067;193;19;10;79;26;29;16;15
1068;581;146;23;176;114;59;34;29
1069;1113;148;43;379;226;148;90;78
1071;3359;343;134;806;584;366;448;678
1072;2328;389;138;591;378;359;225;248
1073;789;123;35;240;158;88;72;72
1074;1755;412;105;533;346;178;99;82
1075;944;191;41;331;158;116;70;38
1076;112;38;8;32;18;7;2;7
1077;147;19;6;54;33;17;12;5
1078;1059;172;44;274;179;100;109;182
1079;626;152;28;207;74;79;51;35
1080;490;112;24;157;76;62;40;19
1081;559;100;28;148;126;77;58;23
1082;392;65;15;130;64;43;43;32
1083;653;131;38;200;118;84;51;31
1084;592;134;28;186;94;71;47;30
1085;281;46;13;76;66;42;26;12
1087;207;34;13;63;26;36;21;14
1088;679;77;49;185;116;113;72;67
1089;1479;228;84;463;293;223;110;79
1090;251;35;11;84;49;32;21;19
1092;1141;180;49;334;230;166;108;74
1093;3726;1167;187;986;588;375;241;182
1094;567;127;47;175;108;58;37;17
1095;568;111;24;181;105;64;47;36
1096;730;149;35;242;131;103;49;22
1098;817;189;50;263;153;79;55;29
1099;1125;216;45;335;212;144;87;87
1100;113;26;6;37;24;13;4;3
1101;116;21;6;35;16;19;12;7
1102;679;159;23;234;125;77;44;16
1103;1259;147;38;291;180;153;186;265
1104;347;65;13;103;70;48;29;19
1105;1190;146;35;300;226;209;135;139
1106;130;24;7;51;19;15;9;4
1107;106;23;5;31;15;10;13;8
