CodeCommune;NSCOL15P;DIPLMIN;BEPC;CAPBEP;BAC;SUP2;SUP34;SUP5
01001;630;97;33;186;127;86;61;40
01002;188;18;6;40;41;29;28;25
01004;10828;2278;646;2950;2038;1287;844;784
01005;1418;250;78;414;273;199;111;93
01006;100;20;8;28;16;12;11;6
01007;2056;299;91;637;407;292;181;150
01008;585;80;25;193;113;92;44;39
01009;251;35;18;82;39;31;23;21
01010;817;141;42;292;167;88;52;34
01011;276;42;13;73;54;45;28;22
01012;246;52;10;71;45;28;27;12
01013;120;17;2;42;26;15;8;9
01014;2560;803;108;686;430;271;155;107
01015;533;92;25;170;95;65;48;38
01016;335;65;21;117;57;43;25;7
01017;326;55;30;100;66;45;17;12
01019;23;3;1;11;7;1;0;0
01021;1073;158;52;288;216;161;116;81
01022;930;197;48;327;161;93;66;38
01023;57;10;3;24;6;6;3;4
01024;2417;371;104;743;458;378;228;135
01025;2947;588;130;876;555;413;233;153
01026;755;198;31;252;121;69;51;31
01027;1985;231;172;576;536;243;116;111
01028;433;81;15;154;84;44;35;21
01029;537;92;25;207;99;60;33;20
01030;620;123;36;182;132;58;45;44
01031;2630;822;120;626;453;270;207;132
01032;2277;383;154;664;456;278;177;165
01033;11927;2896;676;3340;2026;1257;858;875
01034;7077;1872;446;1812;1196;715;546;490
01035;241;38;12;61;44;32;29;26
01036;1056;127;57;274;219;145;129;104
01037;239;30;14;71;54;29;23;18
01038;569;93;20;174;116;85;45;36
01040;348;54;14;124;81;40;28;6
01041;565;97;35;178;113;65;46;31
01042;213;23;9;72;49;27;19;15
01043;3498;458;193;778;580;507;386;596
01044;454;80;32;156;74;55;33;24
01045;192;34;4;57;28;26;25;17
01046;633;90;28;198;139;92;48;38
01047;888;103;26;215;191;144;105;105
01049;2377;404;108;635;424;346;218;244
01050;258;61;9;77;63;27;12;9
01051;76;10;7;19;17;11;8;3
01052;251;35;15;62;49;40;21;30
01053;30950;7536;1998;7445;5311;3116;3013;2531
01054;1061;138;45;263;225;154;109;127
01056;257;44;10;69;50;37;25;22
01057;369;74;19;120;63;45;35;14
01058;612;106;38;183;133;68;47;37
01060;419;64;25;119;79;54;47;31
01061;856;124;41;280;182;105;75;48
01062;701;101;31;139;156;100;81;92
01063;429;87;21;123;77;50;44;27
01064;798;119;66;318;144;85;46;19
01065;1388;181;53;400;274;204;151;125
01066;69;12;9;26;9;0;10;5
01067;197;19;10;80;26;29;16;16
01068;596;161;26;175;101;68;30;35
01069;1131;157;45;388;227;149;88;77
01071;3737;314;141;754;638;467;538;885
01072;2428;406;144;618;394;375;234;258
01073;788;126;35;240;157;88;71;71
01074;1863;357;87;577;364;219;126;133
01075;1047;186;46;323;203;139;79;71
01076;111;26;10;38;15;9;7;6
01077;143;13;3;50;27;17;14;18
01078;1180;140;41;299;227;123;145;205
01079;631;153;28;208;75;80;52;36
01080;490;80;34;148;100;57;44;25
01081;560;101;28;148;126;77;57;22
01082;402;54;26;113;81;50;49;28
01083;717;100;28;232;158;94;72;34
01084;649;112;24;203;119;91;68;32
01085;292;38;14;77;67;48;25;22
01087;209;26;12;53;38;28;32;20
01088;686;81;51;188;115;113;71;66
01089;1586;245;90;497;314;238;118;84
01090;266;38;11;90;52;33;22;20
01092;1190;188;52;348;240;173;112;77
01093;3961;969;215;1006;703;445;334;288
01094;583;132;49;179;110;59;38;17
01095;629;110;37;175;120;99;49;39
01096;755;155;36;251;134;106;50;23
01098;870;200;53;280;163;84;59;31
01099;1210;198;45;335;265;157;99;112
01100;110;25;6;36;23;13;4;3
01101;118;15;1;28;23;23;17;13
01102;702;167;24;242;127;79;45;17
01103;1561;181;47;360;223;190;231;329
01104;341;50;11;90;74;48;38;30
01105;1357;166;40;342;258;239;154;158
01106;132;25;7;52;20;16;9;4
01107;103;20;1;28;16;12;18;8
01108;943;209;40;260;183;103;98;51
01109;1570;229;61;460;295;176;160;190
01110;129;30;7;40;20;10;11;9
01111;100;13;5;30;28;12;7;5
01112;335;47;19;92;65;53;32;26
01113;592;114;22;178;121;78;44;36
01114;498;85;24;107;115;76;44;47
01115;970;127;36;299;225;141;93;49
01116;380;71;20;124;84;42;26;14
01117;101;12;6;35;13;15;13;8
01118;999;206;41;322;179;108;74;71
01121;89;11;4;36;18;12;2;5
01123;851;154;35;267;136;112;88;59
01124;538;114;21;172;118;61;28;24
01125;447;81;20;154;85;55;32;20
01127;382;65;20;129;57;57;36;18
01128;224;47;15;76;42;24;15;5
01129;221;45;12;67;29;25;19;23
01130;1698;259;79;527;379;232;140;82
01133;312;56;20;100;59;31;32;14
01134;1374;265;73;414;258;168;126;69
01135;1578;146;41;356;259;182;216;378
01136;680;119;31;218;128;107;54;24
01138;2525;696;146;832;394;206;136;117
01139;346;88;14;101;79;33;20;12
01140;590;123;27;154;107;77;60;43
01141;337;41;21;96;68;41;45;24
01142;3333;541;191;855;625;467;323;331
01143;7284;709;262;1042;1192;709;1051;2318
01145;895;220;48;260;168;100;50;49
01146;310;45;16;104;66;39;26;13
01147;383;65;18;129;88;46;22;15
01148;1462;348;76;418;254;199;88;79
01149;792;81;39;220;151;122;85;93
01150;162;15;10;35;28;36;24;13
01151;867;165;40;260;182;117;51;52
01152;588;68;22;159;109;106;71;54
01153;1432;114;42;251;222;164;210;429
01155;113;16;3;33;25;25;9;2
01156;625;92;25;231;118;65;60;35
01157;1760;262;83;424;336;256;218;181
01158;743;75;30;192;148;77;94;126
01159;2585;578;147;798;442;330;147;144
01160;7774;1192;278;1048;1192;634;1160;2270
01162;45;4;0;20;6;9;3;4
01163;1543;336;56;532;288;174;109;47
01165;1106;147;57;331;238;178;90;65
01166;1810;252;78;476;353;281;193;176
01167;511;105;30;165;91;57;36;26
01169;470;76;31;135;94;74;34;25
01170;726;158;32;234;138;95;46;25
01171;638;164;35;179;109;84;36;31
01173;9580;1356;322;1929;1737;1255;1283;1699
01174;131;17;3;36;26;21;19;9
01175;604;123;24;221;115;69;27;26
01177;140;25;3;36;25;21;19;10
01179;1461;315;87;459;252;174;116;59
01180;623;39;25;84;94;58;118;205
01181;931;224;49;271;170;122;56;39
01183;1093;153;52;325;230;141;114;79
01184;557;96;34;159;113;69;50;35
01185;3790;725;168;1162;615;419;397;303
01187;509;79;20;162;93;60;53;42
01188;477;89;22;129;109;68;34;26
01189;828;119;34;285;164;104;66;57
01190;73;15;4;23;14;6;7;5
01191;122;22;2;42;27;20;4;5
01192;1655;322;89;496;298;213;125;112
01193;179;31;9;60;30;20;16;13
01194;4772;1101;264;1327;808;540;391;340
01195;1374;197;60;363;249;220;175;110
01196;890;130;39;309;182;118;63;49
01197;286;25;9;66;52;51;44;39
01198;190;32;7;41;31;39;23;16
01199;1592;360;62;443;284;204;140;99
01200;163;33;10;49;31;22;12;7
01202;5476;1136;298;1593;1007;644;443;353
01203;960;177;46;291;169;148;86;44
01204;532;66;27;161;105;92;45;36
01206;206;36;14;52;31;35;32;8
01207;233;25;7;47;56;34;34;30
01208;111;25;6;39;16;10;8;6
01209;562;102;24;162;115;68;53;39
01210;183;31;11;54;38;19;18;11
01211;1050;183;47;319;198;162;101;41
01212;522;127;21;191;105;48;21;8
01213;1003;164;50;361;174;136;70;49
01214;130;9;7;39;26;15;19;13
01215;113;15;7;35;25;14;11;6
01216;710;143;43;219;111;71;79;44
01219;131;19;8;48;23;10;15;9
01224;2351;394;118;663;504;322;170;180
01225;299;37;20;63;54;49;43;33
01227;500;76;30;168;82;62;44;39
01228;509;114;16;144;95;66;39;35
01229;904;174;40;329;157;106;65;33
01230;233;52;11;84;47;27;8;2
01231;1505;328;91;485;265;199;93;46
01232;1728;367;74;510;316;242;130;89
01233;104;14;8;30;19;7;12;14
01234;137;20;11;52;22;15;7;11
01235;823;131;44;255;181;99;55;57
01236;739;134;31;229;142;97;72;35
01237;1219;242;42;339;253;164;106;72
01238;1945;267;76;494;322;337;216;233
01239;482;57;27;133;79;76;54;56
01240;494;66;23;171;98;76;38;22
01241;1064;194;58;279;193;141;118;81
01242;97;9;4;25;19;15;13;11
01243;935;148;48;237;164;170;91;77
01244;5808;1130;364;1391;1041;767;493;624
01245;696;100;27;179;143;119;71;56
01246;1617;340;75;495;300;211;125;72
01247;226;22;6;57;54;39;21;28
01248;1645;169;62;443;287;269;183;232
01249;7279;1382;352;1632;1195;931;782;1004
01250;1317;159;60;344;256;206;149;143
01252;578;108;35;156;98;82;56;43
01254;1565;178;63;422;283;289;174;156
01255;473;65;29;169;100;62;30;18
01257;270;38;13;92;57;43;13;15
01258;881;102;47;248;185;144;95;60
01259;500;64;19;144;111;93;47;23
01260;221;21;7;60;52;31;36;14
01261;505;66;16;128;104;82;63;46
01262;5041;1221;257;1227;906;616;417;397
01263;2812;483;170;762;505;384;320;188
01264;737;131;34;220;141;114;63;34
01265;2616;840;144;695;433;237;142;126
01266;2053;560;110;656;364;180;120;62
01267;756;139;34;234;142;108;52;46
01268;178;31;5;78;17;23;11;14
01269;2475;806;194;533;411;249;125;158
01272;1165;247;62;356;218;126;84;72
01273;1311;212;60;435;258;146;109;91
01274;439;147;24;139;65;27;20;17
01275;1857;195;69;365;324;262;235;408
01276;1162;200;39;283;216;187;131;107
01277;90;11;3;36;13;14;11;4
01279;60;10;4;17;10;10;7;2
01280;108;13;7;33;24;12;13;6
01281;3216;388;140;528;528;333;440;858
01282;200;53;12;40;31;34;23;7
01283;15820;6244;994;3544;2282;1232;827;697
01284;550;120;31;205;98;49;39;7
01285;914;83;33;192;154;165;117;171
01286;746;95;35;176;152;112;105;70
01288;2004;241;84;477;373;229;269;329
01289;4867;955;263;1295;895;597;495;369
01290;1016;127;45;269;187;156;103;129
01291;649;119;23;203;135;91;49;30
01293;116;11;6;38;23;15;13;12
01294;617;108;40;162;118;82;59;48
01295;453;62;19;137;81;81;42;31
01296;297;51;7;95;81;35;19;8
01297;641;85;24;203;112;77;65;74
01298;119;17;2;39;19;16;15;11
01299;411;44;16;124;90;59;30;49
01301;1982;290;89;597;396;287;196;127
01302;141;16;6;58;26;12;14;7
01303;1297;218;55;394;243;176;104;108
01304;2116;455;124;625;411;201;154;147
01305;1797;625;94;507;264;144;113;50
01306;1270;385;85;370;212;120;67;31
01307;645;186;34;200;92;62;37;34
01308;573;78;13;160;94;77;64;87
01309;66;7;1;26;15;8;3;5
01310;202;50;13;67;28;18;16;8
01311;35;2;1;13;5;7;4;3
01313;6118;520;183;899;964;639;962;1952
01314;1270;191;59;332;284;191;122;90
01317;231;31;8;82;54;26;18;12
01318;516;67;15;147;99;83;54;51
01319;336;66;16;90;69;48;28;18
01320;2868;556;132;859;535;399;249;136
01321;636;81;32;153;111;105;82;72
01322;3631;677;173;813;620;501;391;456
01323;778;224;46;226;124;75;56;26
01325;801;113;29;223;159;120;71;86
01328;467;106;4;103;94;70;38;51
01329;128;17;2;60;26;12;6;5
01330;147;28;5;41;27;20;16;11
01331;148;23;9;39;33;18;16;10
01332;593;120;28;183;108;78;44;33
01333;2522;414;115;606;508;355;253;271
01334;476;76;6;136;93;79;48;39
01335;269;39;8;85;49;48;26;14
01336;876;165;40;259;175;125;85;28
01337;969;175;40;323;185;128;61;56
01338;921;151;59;276;197;101;87;50
01339;1144;168;47;269;179;174;139;168
01342;389;32;16;108;86;53;42;52
01343;1331;214;54;429;276;188;112;58
01344;4584;778;262;1265;845;570;472;392
01345;1675;290;117;595;326;187;93;68
01346;625;132;14;217;114;77;45;27
01347;1547;191;61;389;266;254;181;205
01348;2261;575;137;683;397;235;134;101
01349;379;41;14;109;66;54;48;48
01350;1935;314;74;636;385;248;172;107
01351;1136;198;59;328;236;144;107;63
01352;422;85;14;130;93;49;29;23
01353;1217;179;56;306;203;233;118;122
01354;9882;1152;406;1824;1632;969;1208;2691
01355;359;57;15;127;64;47;30;20
01356;139;26;6;30;30;28;12;9
01357;377;95;19;103;78;35;22;23
01358;327;55;18;100;62;33;24;34
01359;189;27;9;56;55;21;10;12
01360;1424;149;45;317;267;169;169;309
01361;1320;118;61;347;234;247;165;147
01362;580;66;21;168;107;85;62;70
01363;1362;260;54;427;252;189;97;85
01364;581;149;24;196;98;74;28;12
01365;855;184;46;247;157;120;57;45
01366;752;98;33;200;159;126;62;73
01367;534;128;30;167;102;55;35;18
01368;606;106;25;179;134;87;52;23
01369;750;121;30;200;127;123;87;61
01370;1364;312;84;434;202;163;91;78
01371;908;112;24;244;211;124;97;96
01372;318;52;13;92;64;33;30;33
01373;807;188;55;267;111;101;52;34
01374;1396;217;77;385;275;208;144;90
01375;575;108;25;186;95;95;37;29
01376;2949;633;147;677;506;331;297;356
01378;1994;289;100;595;376;295;170;170
01379;538;94;33;174;119;66;30;22
