CodeCommune;NomCommune;Pop2017;Pop2022
01001;L'Abergement-Clémenciat;776;859
01002;L'Abergement-de-Varey;248;273
01004;Ambérieu-en-Bugey;14035;15554
01005;Ambérieux-en-Dombes;1689;1917
01006;Ambléon;111;114
01007;Ambronay;2726;2828
01008;Ambutrix;752;764
01009;Andert-et-Condon;330;335
01010;Anglefort;1115;1150
01011;Apremont;376;399
01012;Aranc;326;329
01013;Arandas;144;140
01014;Arbent;3367;3482
01016;Arbigny;463;459
01015;Arboys en Bugey;644;688
01017;Argis;442;420
01019;Armix;28;25
01021;Ars-sur-Formans;1408;1513
01022;Artemare;1237;1141
01453;Arvière-en-Valromey;713;715
01023;Asnières-sur-Saône;66;77
01024;Attignat;3211;3372
01025;Bâgé-Dommartin;4092;4057
01026;Bâgé-le-Châtel;923;987
01027;Balan;2684;2878
01028;Baneins;602;618
01170;Béard-Géovreissiat;1051;1048
01029;Beaupont;689;717
01030;Beauregard;866;826
01032;Béligneux;3333;3484
01034;Belley;9103;9270
01035;Belleydoux;314;306
01031;Bellignat;3624;3581
01037;Bénonces;298;311
01038;Bény;756;769
01040;Béréziat;496;481
01041;Bettant;748;762
01042;Bey;279;290
01043;Beynost;4613;4936
01044;Billiat;622;669
01045;Birieux;283;280
01046;Biziat;876;897
01047;Blyes;1007;1351
01245;Bohas-Meyriat-Rignat;913;951
01049;La Boisse;3229;3401
01050;Boissey;336;390
01051;Bolozon;89;99
01052;Bouligneux;328;323
01053;Bourg-en-Bresse;41527;42065
01054;Bourg-Saint-Christophe;1366;1540
01056;Boyeux-Saint-Jérôme;346;362
01057;Boz;512;509
01058;Brégnier-Cordon;839;812
01060;Brénod;509;547
01061;Brens;1166;1117
01130;Bresse Vallons;2282;2393
01062;Bressolles;911;1003
01063;Brion;521;591
01064;Briord;1016;1102
01065;Buellas;1782;1884
01066;La Burbanche;77;97
01067;Ceignes;254;263
01068;Cerdon;783;755
01069;Certines;1517;1518
01071;Cessy;4856;5570
01072;Ceyzériat;3157;3306
01073;Ceyzérieu;1007;1028
01074;Chalamont;2451;2544
01075;Chaleins;1342;1436
01076;Chaley;130;127
01077;Challes-la-Montagne;194;185
01078;Challex;1481;1628
01079;Champagne-en-Valromey;820;826
01080;Champdor-Corcelles;651;655
01081;Champfromier;729;709
01082;Chanay;625;595
01083;Chaneins;910;1041
01084;Chanoz-Châtenay;844;943
01085;La Chapelle-du-Châtelard;388;391
01087;Charix;285;280
01088;Charnoz-sur-Ain;913;925
01089;Château-Gaillard;2138;2408
01090;Châtenay;341;358
01092;Châtillon-la-Palud;1584;1675
01093;Châtillon-sur-Chalaronne;4859;5154
